year,hires,terminations,net_change,net_change_percent
2000,211,26,185,87.68
2001,1082,197,885,81.79
2002,1012,162,850,83.99
2003,1088,198,890,81.80
2004,1087,206,881,81.05
2005,1038,193,845,81.41
2006,1069,188,881,82.41
2007,1058,155,903,85.35
2008,1061,147,914,86.15
2009,1094,157,937,85.65
2010,1050,139,911,86.76
2011,1057,121,936,88.55
2012,1059,122,937,88.48
2013,1042,102,940,90.21
2014,1014,95,919,90.63
2015,1011,96,915,90.50
2016,1076,80,996,92.57
2017,1043,66,977,93.67
2018,1090,60,1030,94.50
2019,1038,59,979,94.32
2020,967,42,925,95.66
